IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,sample
6.5106922,4.9867725,0,0,0,0,15.7660935,2.5126764,2.5595238,1.2003968,0.5527998,0,57.1108907,5.7473545,3.0527998,370.08
6.8762235,4.8421574,0,0,0,0,16.1589002,2.8564678,1.8788111,0,0,0,59.1307968,5.5745562,2.6820872,370.2
10.5198128,5.363869,0.3132605,0.2912949,0,0,16.8359438,2.9723557,2.1069579,1.0960374,0.5184399,0.2970359,51.5080187,5.4474883,2.7294852,370.3
5.5279943,3.9485674,0,0,0,0,14.3915617,3.0051451,1.9015711,0.9452631,0,0,62.7039863,5.1478642,2.4280468,370.39
5.9212498,4.1529297,0,0,0,0,17.1746216,3.6518432,1.7505245,0,0,0,59.7332534,5.1363704,2.4792073,370.4
5.2870521,4.3385136,0,0,0,0,13.1382888,3.3590214,1.7867817,0.9620585,0.4340648,0,62.7138303,5.3895198,2.590869,370.5
4.3522475,3.0938987,0,0,0,0,16.5033283,2.4412024,1.2498979,0,0.3667719,0,65.9930308,4.0781545,1.921468,370.58
6.7931763,4.3610611,0,0,0,0,16.4840754,3.501839,1.8193912,0.832616,0,0,58.6391736,5.1756788,2.3929885,370.6
6.4460382,4.051604,0,0,0,0,15.462007,2.8333988,1.9425193,0.9502715,0.5948128,0.2916012,58.5135932,5.9619713,2.9521828,370.7
7.9783085,4.4251239,0,0,0,0,12.3795264,3.5217293,1.8306953,1.3387352,0,0,60.8055059,5.3033544,2.4170211,370.8
6.9533313,6.6169003,0,0,0,0,15.4402803,3.1370607,1.8802052,1.4574446,0,0,56.5191448,5.4793825,2.5162503,370.9
7.1995814,6.5767873,0,0,0,0,19.6493064,3.8075597,0,0,0,0,62.7667652,0,0,371
2.7063751,3.0906938,0,0,0,0,13.2188599,2.1014207,1.1350183,0.5246825,0,0,69.7948805,4.6181029,2.8099663,371.2
3.8323227,4.99627,0,0,0,0,15.5779567,2.6444653,1.4709539,0,0,0,64.6320702,4.7150864,2.1308747,371.3
3.3429801,3.8575796,0,0,0,0,14.6943547,2.6180369,1.146589,0,0,0,68.0349391,4.2773088,2.0282119,371.4
3.4634389,2.9620607,0,0,0,0,16.9723026,2.1524346,1.452395,0.3334839,0.4609315,0,64.5418111,5.1650826,2.496059,371.5
3.2531185,3.1948855,0.1110393,0.2005805,0,0,15.4166219,2.4036259,1.3046078,0.3755926,0.4154583,0,66.55274,4.6334919,2.1382377,371.6
4.0763099,3.5578654,0,0,0,0,16.8643965,2.8473101,1.3708564,0.4618291,0,0,63.6261856,4.9872456,2.2080012,371.7
